 Package                           Name                                                              Type    Status         Version        
 Administration                    Actions permissions (actions_permissions)                         Module  Not installed  6.x-1.13       
 Administration                    Administration menu (admin_menu)                                  Module  Enabled        6.x-1.8        
 CCK                               Content (content)                                                 Module  Enabled        6.x-2.9        
 CCK                               Content Copy (content_copy)                                       Module  Enabled        6.x-2.9        
 CCK                               Content Permissions (content_permissions)                         Module  Disabled       6.x-2.9        
 CCK                               Content Taxonomy (content_taxonomy)                               Module  Enabled        6.x-1.0-rc2    
 CCK                               Content Taxonomy Autocomplete (content_taxonomy_autocomplete)     Module  Enabled        6.x-1.0-rc2    
 CCK                               Content Taxonomy Options (content_taxonomy_options)               Module  Enabled        6.x-1.0-rc2    
 CCK                               Content Taxonomy Tree (content_taxonomy_tree)                     Module  Enabled        6.x-1.0-rc2    
 CCK                               Content Templates (contemplate)                                   Module  Enabled        6.x-1.2        
 CCK                               Field Permissions (field_permissions)                             Module  Enabled        6.x-1.0        
 CCK                               Fieldgroup (fieldgroup)                                           Module  Enabled        6.x-2.9        
 CCK                               FileField (filefield)                                             Module  Enabled        6.x-3.10       
 CCK                               FileField Meta (filefield_meta)                                   Module  Not installed  6.x-3.10       
 CCK                               ImageField (imagefield)                                           Module  Enabled        6.x-3.10       
 CCK                               Link (link)                                                       Module  Enabled        6.x-2.9        
 CCK                               Node Reference (nodereference)                                    Module  Enabled        6.x-2.9        
 CCK                               Number (number)                                                   Module  Enabled        6.x-2.9        
 CCK                               Option Widgets (optionwidgets)                                    Module  Enabled        6.x-2.9        
 CCK                               Text (text)                                                       Module  Enabled        6.x-2.9        
 CCK                               User Reference (userreference)                                    Module  Enabled        6.x-2.9        
 Chaos tool suite                  Bulk Export (bulk_export)                                         Module  Not installed  6.x-1.8+46-dev 
 Chaos tool suite                  Chaos tools (ctools)                                              Module  Enabled        6.x-1.8+46-dev 
 Chaos tool suite                  Chaos Tools (CTools) AJAX Example (ctools_ajax_sample)            Module  Not installed  6.x-1.8+46-dev 
 Chaos tool suite                  Chaos Tools (CTools) Plugin Example (ctools_plugin_example)       Module  Not installed  6.x-1.8+46-dev 
 Chaos tool suite                  Custom content panes (ctools_custom_content)                      Module  Not installed  6.x-1.8+46-dev 
 Chaos tool suite                  Custom rulesets (ctools_access_ruleset)                           Module  Not installed  6.x-1.8+46-dev 
 Chaos tool suite                  Page manager (page_manager)                                       Module  Enabled        6.x-1.8+46-dev 
 Chaos tool suite                  Stylizer (stylizer)                                               Module  Enabled        6.x-1.8+46-dev 
 Chaos tool suite                  Views content panes (views_content)                               Module  Not installed  6.x-1.8+46-dev 
 Content Profile                   Content Profile (content_profile)                                 Module  Enabled        6.x-1.0        
 Content Profile                   Content Profile Tokens (content_profile_tokens)                   Module  Not installed  6.x-1.0        
 Content Profile                   Content Profile User Registration (content_profile_registration)  Module  Not installed  6.x-1.0        
 Core - optional                   Aggregator (aggregator)                                           Module  Enabled        6.24           
 Core - optional                   Blog (blog)                                                       Module  Enabled        6.24           
 Core - optional                   Blog API (blogapi)                                                Module  Enabled        6.24           
 Core - optional                   Book (book)                                                       Module  Enabled        6.24           
 Core - optional                   Color (color)                                                     Module  Enabled        6.24           
 Core - optional                   Comment (comment)                                                 Module  Enabled        6.24           
 Core - optional                   Contact (contact)                                                 Module  Enabled        6.24           
 Core - optional                   Content translation (translation)                                 Module  Not installed  6.24           
 Core - optional                   Database logging (dblog)                                          Module  Enabled        6.24           
 Core - optional                   Forum (forum)                                                     Module  Enabled        6.24           
 Core - optional                   Help (help)                                                       Module  Disabled       6.24           
 Core - optional                   Locale (locale)                                                   Module  Enabled        6.24           
 Core - optional                   Menu (menu)                                                       Module  Enabled        6.24           
 Core - optional                   OpenID (openid)                                                   Module  Not installed  6.24           
 Core - optional                   Path (path)                                                       Module  Enabled        6.24           
 Core - optional                   PHP filter (php)                                                  Module  Enabled        6.24           
 Core - optional                   Ping (ping)                                                       Module  Not installed  6.24           
 Core - optional                   Poll (poll)                                                       Module  Enabled        6.24           
 Core - optional                   Profile (profile)                                                 Module  Enabled        6.24           
 Core - optional                   Search (search)                                                   Module  Enabled        6.24           
 Core - optional                   Statistics (statistics)                                           Module  Enabled        6.24           
 Core - optional                   Syslog (syslog)                                                   Module  Enabled        6.24           
 Core - optional                   Taxonomy (taxonomy)                                               Module  Enabled        6.24           
 Core - optional                   Throttle (throttle)                                               Module  Disabled       6.24           
 Core - optional                   Tracker (tracker)                                                 Module  Disabled       6.24           
 Core - optional                   Trigger (trigger)                                                 Module  Enabled        6.24           
 Core - optional                   Update status (update)                                            Module  Enabled        6.24           
 Core - optional                   Upload (upload)                                                   Module  Enabled        6.24           
 Core - required                   Block (block)                                                     Module  Enabled        6.24           
 Core - required                   Filter (filter)                                                   Module  Enabled        6.24           
 Core - required                   Node (node)                                                       Module  Enabled        6.24           
 Core - required                   System (system)                                                   Module  Enabled        6.24           
 Core - required                   User (user)                                                       Module  Enabled        6.24           
 Database                          Schema (schema)                                                   Module  Not installed  6.x-1.7        
 Date/Time                         Date (date)                                                       Module  Disabled       6.x-2.8        
 Date/Time                         Date API (date_api)                                               Module  Enabled        6.x-2.8        
